MMSI,vessel_name,vessel_type,timestamp,latitude,longitude,SOG,COG,heading
219018271,MAERSK MC-KINNEY MOLLER,Cargo / Container,2026-05-12 06:00:00,51.02,1.221,16.2,55.0,55
219018271,MAERSK MC-KINNEY MOLLER,Cargo / Container,2026-05-12 06:02:00,51.0263,1.23183,16.5,55.9,55
219018271,MAERSK MC-KINNEY MOLLER,Cargo / Container,2026-05-12 06:04:00,51.03254,1.24251,16.7,56.7,56
219018271,MAERSK MC-KINNEY MOLLER,Cargo / Container,2026-05-12 06:06:00,51.03866,1.25309,16.8,57.3,57
219018271,MAERSK MC-KINNEY MOLLER,Cargo / Container,2026-05-12 06:08:00,51.04464,1.26361,16.7,57.8,57
219018271,MAERSK MC-KINNEY MOLLER,Cargo / Container,2026-05-12 06:10:00,51.05045,1.27413,16.6,58.0,57
219018271,MAERSK MC-KINNEY MOLLER,Cargo / Container,2026-05-12 06:12:00,51.05613,1.28472,16.3,57.9,57
219018271,MAERSK MC-KINNEY MOLLER,Cargo / Container,2026-05-12 06:14:00,51.0617,1.29542,16.0,57.6,57
219018271,MAERSK MC-KINNEY MOLLER,Cargo / Container,2026-05-12 06:16:00,51.06721,1.30627,15.7,57.0,57
219018271,MAERSK MC-KINNEY MOLLER,Cargo / Container,2026-05-12 06:18:00,51.07274,1.31729,15.6,56.3,56
219018271,MAERSK MC-KINNEY MOLLER,Cargo / Container,2026-05-12 06:20:00,51.07833,1.32844,15.6,55.4,55
219018271,MAERSK MC-KINNEY MOLLER,Cargo / Container,2026-05-12 06:22:00,51.08405,1.33969,15.8,54.5,54
219018271,MAERSK MC-KINNEY MOLLER,Cargo / Container,2026-05-12 06:24:00,51.08991,1.351,16.0,53.7,53
219018271,MAERSK MC-KINNEY MOLLER,Cargo / Container,2026-05-12 06:26:00,51.09593,1.36229,16.3,52.9,52
219018271,MAERSK MC-KINNEY MOLLER,Cargo / Container,2026-05-12 06:28:00,51.1021,1.3735,16.6,52.4,52
219018271,MAERSK MC-KINNEY MOLLER,Cargo / Container,2026-05-12 06:30:00,51.10836,1.3846,16.8,52.1,52
219018271,MAERSK MC-KINNEY MOLLER,Cargo / Container,2026-05-12 06:32:00,51.11466,1.39554,16.8,52.0,52
219018271,MAERSK MC-KINNEY MOLLER,Cargo / Container,2026-05-12 06:34:00,51.12095,1.40632,16.7,52.2,52
219018271,MAERSK MC-KINNEY MOLLER,Cargo / Container,2026-05-12 06:36:00,51.12716,1.41697,16.4,52.7,52
219018271,MAERSK MC-KINNEY MOLLER,Cargo / Container,2026-05-12 06:38:00,51.13324,1.42752,16.2,53.3,53
219018271,MAERSK MC-KINNEY MOLLER,Cargo / Container,2026-05-12 06:40:00,51.13917,1.43804,15.9,54.2,54
219018271,MAERSK MC-KINNEY MOLLER,Cargo / Container,2026-05-12 06:42:00,51.14495,1.44857,15.7,55.1,55
219018271,MAERSK MC-KINNEY MOLLER,Cargo / Container,2026-05-12 06:44:00,51.15058,1.45919,15.6,55.9,55
219018271,MAERSK MC-KINNEY MOLLER,Cargo / Container,2026-05-12 06:46:00,51.15613,1.46993,15.7,56.7,56
219018271,MAERSK MC-KINNEY MOLLER,Cargo / Container,2026-05-12 06:48:00,51.16164,1.48083,15.9,57.4,57
219018271,MAERSK MC-KINNEY MOLLER,Cargo / Container,2026-05-12 06:50:00,51.16718,1.49189,16.2,57.8,57
219018271,MAERSK MC-KINNEY MOLLER,Cargo / Container,2026-05-12 06:52:00,51.17281,1.50308,16.5,58.0,57
219018271,MAERSK MC-KINNEY MOLLER,Cargo / Container,2026-05-12 06:54:00,51.17856,1.51435,16.7,57.9,57
219018271,MAERSK MC-KINNEY MOLLER,Cargo / Container,2026-05-12 06:56:00,51.18448,1.52566,16.8,57.6,57
219018271,MAERSK MC-KINNEY MOLLER,Cargo / Container,2026-05-12 06:58:00,51.19054,1.53693,16.8,57.0,56
219018271,MAERSK MC-KINNEY MOLLER,Cargo / Container,2026-05-12 07:00:00,51.19674,1.54812,16.6,56.2,56
219018271,MAERSK MC-KINNEY MOLLER,Cargo / Container,2026-05-12 07:02:00,51.20302,1.55917,16.3,55.4,55
219018271,MAERSK MC-KINNEY MOLLER,Cargo / Container,2026-05-12 07:04:00,51.20932,1.57006,16.0,54.5,54
219018271,MAERSK MC-KINNEY MOLLER,Cargo / Container,2026-05-12 07:06:00,51.21559,1.58081,15.8,53.6,53
